SNo.,state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,Approved Labour Budget,Persondays of Central Liability so far,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
600,TELANGANA,Hanumakonda,103704,220482,61570,138070,1100000,1411856,943798,37,157.1211385,203,37794,57538,590,0,7928,6735,1193,4264.295903,2218.324222,1816.507772,229.46391
601,TELANGANA,Jagtial,170451,277777,107879,191272,1800000,2298369,1714811,35,211.2284931,128,64420,82705,671,0,15917,12311,3606,8450.176288,4854.810204,3319.250894,276.11519
602,TELANGANA,Jangaon,118124,236221,82785,175447,1900000,1899324,1263016,36,174.0750036,263,51352,77773,823,0,17876,17290,586,6003.281546,3306.248322,2510.040515,186.99271
603,TELANGANA,Jayashanker Bhopalapally,113448,253290,74098,175237,1800000,1555575,854992,34,181.3189324,132,44629,76695,920,0,10200,9745,455,6374.385865,2820.551983,3351.212092,202.62179
604,TELANGANA,Kamareddy,264238,514091,188956,372329,2700000,2001054,1165431,24,173.4905106,61,80533,122553,2094,0,14699,13222,1477,7917.819617,3471.638802,4111.845545,334.33527
605,TELANGANA,Bhadradri Kothagudem,221347,459737,134157,301624,2800000,3345475,2064889,41,186.5117489,871,79758,124294,838,0,24016,17343,6673,11659.54005,6239.703932,4987.47845,432.35767
606,TELANGANA,Kumram Bheem(Asifabad),121504,244943,91725,196023,2100000,2379110,1273191,41,183.4297657,450,57763,101662,894,0,19127,16565,2562,8254.294479,4363.995898,3642.688611,247.60997
607,TELANGANA,Mahabubabad,232547,490193,141284,320180,3100000,3770085,2137539,38,177.0471622,793,97246,172519,1764,0,24275,17780,6495,12307.14896,6674.828505,5374.666835,257.65362
608,TELANGANA,Medchal,20702,22122,7741,8405,100000,41266,32519,25,256.7639056,10,1635,1665,7,0,1608,1311,297,389.5019167,105.9561933,253.0413534,30.50437
609,TELANGANA,Mancherial,131218,255978,83621,177806,1600000,1590494,1022000,34,187.1237654,232,45559,69805,766,0,10598,8407,2191,5860.159766,2976.192261,2555.888875,328.07863
610,TELANGANA,Nagarkurnool,199921,386332,111131,230838,2200000,2715012,1765894,39,183.1069135,695,69208,106597,1102,0,23025,20751,2274,9392.05222,4971.374674,4074.822816,345.85473
611,TELANGANA,Nirmal,181796,347121,129505,267962,2900000,4089749,2462902,42,194.4861925,1297,96477,163101,1416,0,13599,12608,991,13470.89898,7953.997114,5224.646611,292.25526
612,TELANGANA,Peddapalli,123354,252688,75404,168677,1500000,1403850,1005986,31,188.0894608,44,44858,62427,1042,0,10277,8385,1892,5601.812528,2640.493896,2739.581332,221.7373
613,TELANGANA,Sangareddy,229006,422475,135555,273047,3200000,4505046,2737821,47,193.8532256,1199,94267,151032,1389,8,18260,16526,1734,15476.61418,8733.176988,6283.657497,459.7797
614,TELANGANA,Rangareddy,173862,290653,112653,203927,1700000,1761178,1194102,37,181.831378,334,46862,65285,914,0,16866,15620,1246,6741.794567,3202.374226,3095.598071,443.82227
615,TELANGANA,Siddipet,210664,426652,134753,293632,3000000,2485651,1646139,34,183.1310889,161,72520,107579,1006,3,27425,24566,2859,10727.26181,4551.999744,5824.160038,351.10203
616,TELANGANA,Rajanna Sirsilla,98428,201006,65762,142073,1400000,1217379,839503,34,211.476074,61,35799,48909,493,0,10650,9825,825,5652.371881,2574.465314,2859.321177,218.58539
617,TELANGANA,Suryapet,290069,638514,183189,427099,3900000,4522674,2707761,32,176.3680025,215,139849,248817,4088,0,24354,22039,2315,14233.01408,7976.549794,5877.233542,379.23074
618,TELANGANA,Wanaparthy,147360,301106,77759,171957,1700000,2077689,1408311,42,178.1897651,405,49297,71967,706,0,14534,12129,2405,6868.917202,3702.22915,2913.354512,253.33354
619,TELANGANA,Yadadri Bhuvanagiri,154636,288309,94333,188052,1900000,1873633,1469624,31,180.2125871,114,60163,78700,1222,0,16297,14381,1916,6846.741264,3376.522502,3147.684521,322.53424
620,TELANGANA,Mulugu,87178,188959,56951,130242,1200000,875518,470823,32,179.8320218,102,27023,44035,276,0,5442,4629,813,4701.656542,1574.461721,2957.005241,170.18958
621,TELANGANA,Narayanpet,117227,213540,74289,153236,1400000,1602973,999413,36,184.0491346,288,44056,70021,529,0,13187,12026,1161,5435.754765,2950.257934,2289.698231,195.7986
622,TRIPURA,DHALAI,94356,167786,91833,164243,5119582,4022074,2004248,47,200.5490424,2048,84407,121971,1182,0,27307,19369,7938,10133.6784,8066.230892,1803.824506,263.623
623,TRIPURA,Gomati,94269,172719,88950,165390,3517960,2636712,1380394,36,206.8651613,1041,71412,96185,676,0,25410,20403,5007,7419.897519,5454.438532,1596.205708,369.25328
624,TRIPURA,Khowai,73308,122101,70050,117557,2666003,2366958,1091324,39,205.7675295,952,59821,71858,774,0,22714,15336,7378,6143.356727,4870.431001,1048.556446,224.36928
625,TRIPURA,NORTH TRIPURA,75526,132883,71030,127078,2910834,2556692,1211535,41,198.7676262,1943,60939,92618,518,0,22970,17017,5953,6931.76118,5081.875998,1616.081742,233.80344
626,TRIPURA,Sepahijala,84197,149839,80678,144599,2909586,2058608,1023084,32,203.7193987,297,63144,83462,1172,0,19255,11045,8210,5825.019278,4193.783839,1274.547879,356.68756
627,TRIPURA,SOUTH TRIPURA,100673,187545,95232,179733,3409190,2725330,1368951,32,206.105015,172,85023,106483,876,0,32455,18678,13777,7406.468311,5617.041804,1449.999977,339.42653
628,TRIPURA,Unakoti,57554,99968,52951,93668,1903018,1683527,840058,39,193.9148689,885,42411,61710,732,0,16426,12533,3893,4332.107651,3264.609175,884.9025753,182.5959
629,TRIPURA,WEST TRIPURA,102103,170460,92367,153389,2563827,2021587,1023786,27,201.0522078,78,72430,84890,1202,0,32396,20766,11630,5727.60787,4064.445297,1354.006183,309.15639
630,UTTAR PRADESH,BIJNOR,276848,390307,207134,304463,3583852,2117018,650765,20,227.7054301,174,103832,124336,221,9,27470,23394,4076,7107.397536,4820.564941,2173.528005,113.30459
631,UTTAR PRADESH,MORADABAD,215610,291757,132732,188115,2219027,1794651,508739,30,235.7324923,121,58773,68512,149,3,16995,14497,2498,5639.482526,4230.57553,1377.361486,31.54551
632,UTTAR PRADESH,RAMPUR,182762,222054,121444,151997,2260551,2020280,463400,34,226.982096,354,57927,64921,165,5,18671,15351,3320,9011.211062,4585.67389,4347.905822,77.63135
633,UTTAR PRADESH,SAHARANPUR,169141,233227,109151,159705,1582655,868323,347228,20,233.1486131,35,43232,49983,108,3,19170,18089,1081,3228.895889,2024.483032,1163.316807,41.09605
634,UTTAR PRADESH,MUZAFFARNAGAR,105796,124550,47792,56508,742112,459706,177686,29,229.4720539,68,15658,17406,33,5,7988,7341,647,1378.328714,1054.8968,310.9699836,12.46193
635,UTTAR PRADESH,MEERUT,63994,75971,31885,38924,493498,344030,132872,32,235.0625619,2,10697,11674,18,14,6493,6072,421,1188.439171,808.6857317,376.6678697,3.08557
636,UTTAR PRADESH,GHAZIABAD,16440,24169,45,54,110,97,0,12,358.2164948,0,8,8,0,160,29,29,0,0.34747,0.34747,0,0
637,UTTAR PRADESH,BULANDSHAHR,92065,105881,56321,65118,540104,398271,134562,25,234.781257,16,15620,16564,21,47,11309,11074,235,1602.337067,935.06566,657.6473269,9.62408
638,UTTAR PRADESH,ALIGARH,246114,310836,153787,199206,1962380,1768674,478965,27,233.7774627,187,65305,72413,147,3,22303,19847,2456,6785.359951,4134.761201,2582.07979,68.51896
639,UTTAR PRADESH,MATHURA,153803,219302,109725,158170,1826333,1562110,621167,31,233.9149974,93,49019,60659,74,26,14770,13116,1654,5920.383569,3654.009566,2215.770383,50.60362
640,UTTAR PRADESH,AGRA,180645,250318,135138,193682,3247779,3150671,1246583,40,232.8938179,995,78269,99121,202,6,21482,19453,2029,9585.366884,7337.71798,2134.333224,113.31568
641,UTTAR PRADESH,FIROZABAD,177774,203017,110010,125556,2232745,2354622,974709,38,231.086634,166,60401,63336,121,8,19126,16503,2623,8575.402145,5441.216723,3067.384372,66.80105
642,UTTAR PRADESH,ETAH,182726,237481,107203,143800,1703370,1768721,622568,35,230.8943782,262,49600,55062,112,3,20859,16107,4752,6412.706607,4083.877355,2247.261843,81.56741
643,UTTAR PRADESH,MAINPURI,233070,308130,136688,189144,2186127,2194271,806432,35,231.1966235,550,61224,71515,139,3,23266,20134,3132,6506.508467,5073.080462,1351.909865,81.51814
644,UTTAR PRADESH,BUDAUN,228843,269795,158282,191916,2422724,1504842,448687,28,233.5862556,50,53011,58431,204,14,30321,27499,2822,4902.973053,3515.10408,1285.831213,102.03776
645,UTTAR PRADESH,BAREILLY,286297,390000,215055,308183,3320819,2252345,545982,26,233.3472505,268,84556,102005,851,3,36529,32081,4448,6631.634573,5255.785129,1268.178784,107.67066
646,UTTAR PRADESH,PILIBHIT,246772,355788,171041,262979,2688721,1838101,728267,27,235.4450037,65,67496,80779,387,2,30192,26847,3345,6988.48195,4327.716967,2568.454263,92.31072
647,UTTAR PRADESH,SHAHJAHANPUR,318076,423254,202159,285333,2687911,1931996,593694,27,233.0261654,52,69155,83160,341,3,40214,37789,2425,6737.653676,4502.056195,2037.678572,197.91891
648,UTTAR PRADESH,KHERI,474587,651539,337954,486035,4608811,4090791,1194017,33,230.8850645,919,121492,146872,456,2,53348,41417,11931,14537.76085,9445.025438,4902.896148,189.83926
649,UTTAR PRADESH,SITAPUR,609129,871665,416307,626217,7145898,5965533,2083217,36,236.3825872,1193,162216,201773,740,4,80008,67336,12672,22256.04093,14101.48124,7877.540463,277.01922
650,UTTAR PRADESH,HARDOI,477598,574372,293745,367616,4422458,4192353,1127957,35,236.7135722,148,118961,129754,228,4,55712,47924,7788,14698.43941,9923.868544,4529.143793,245.42707
651,UTTAR PRADESH,UNNAO,296591,370386,184194,242009,2388668,2195886,811082,35,230.5470765,317,62320,68847,151,1,30439,25320,5119,6754.459746,5062.550976,1584.027021,107.88175
652,UTTAR PRADESH,LUCKNOW,153815,209757,82558,121893,960289,683815,241573,28,233.1862726,42,23644,27558,100,5,14899,13629,1270,3032.969114,1594.56271,1350.162844,88.24356
653,UTTAR PRADESH,RAE BARELI,321685,472873,230112,359618,3071132,2179052,1012711,28,226.2731644,235,75498,90067,195,3,44193,31084,13109,11228.81334,4930.609913,6097.49556,200.70787
654,UTTAR PRADESH,FARRUKHABAD,122584,140708,88901,103674,1504504,1248425,345186,33,232.4525318,230,36760,39337,53,8,20115,18464,1651,5054.717075,2901.99552,2070.642585,82.07897
655,UTTAR PRADESH,ETAWAH,154752,192021,104962,135568,1611970,1209196,342240,30,234.4567887,194,39076,43390,96,0,15928,13703,2225,4259.443978,2835.042111,1362.047478,62.35439
656,UTTAR PRADESH,KANPUR DEHAT,153132,201682,103284,140105,1384872,1112143,360025,28,233.0932254,110,38958,45288,169,3,23754,17946,5808,3896.07244,2592.32999,1239.79684,63.94561
657,UTTAR PRADESH,KANPUR NAGAR,113579,151821,72197,102386,1085561,758599,237947,29,233.0521364,72,25697,29625,174,0,16570,15238,1332,2250.336213,1767.931176,417.1001872,65.30485
658,UTTAR PRADESH,JALAUN,229119,350281,184183,290128,5383511,5458295,2079301,45,229.305635,1835,119065,160143,505,1,29790,23683,6107,15937.46242,12516.17801,3296.008484,125.27593
659,UTTAR PRADESH,JHANSI,185810,302109,133539,224978,2938462,2928981,1192055,48,229.9796734,1982,60136,83964,272,2,24143,21603,2540,9188.345412,6736.060938,2367.785634,84.49884
660,UTTAR PRADESH,LALITPUR,189751,316468,146042,251061,2649747,2559200,1119844,36,230.3053117,957,70324,98064,169,0,32400,25846,6554,10304.78201,5893.973537,4318.304631,92.50384
661,UTTAR PRADESH,HAMIRPUR,170496,280323,124199,210037,2467085,2439586,1056027,42,228.0024261,1245,57734,80453,118,0,21572,19490,2082,7670.672996,5562.315266,2035.68871,72.66902
662,UTTAR PRADESH,BANDA,232195,381520,155598,269798,2135479,2083795,1060838,37,233.2793991,435,55254,73788,73,2,40227,34131,6096,6194.310861,4861.064454,1234.861927,98.38448
663,UTTAR PRADESH,FATEHPUR,277731,346563,180142,234115,2728409,2537145,1231115,35,239.7867427,185,71095,78840,269,14,44510,39393,5117,8576.08696,6083.737354,2291.292016,201.05759
664,UTTAR PRADESH,PRATAPGARH,396458,457115,236644,278288,3695106,3591095,1956612,38,229.4275591,697,92132,96495,88,29,57633,47596,10037,11288.74971,8238.961603,2858.634095,191.15401
665,UTTAR PRADESH,PRAYAGRAJ,457171,641444,298914,440993,3778175,3938129,2028153,37,232.6709279,592,104767,128533,220,27,72585,59508,13077,13847.03582,9162.881285,4460.884788,223.26975
666,UTTAR PRADESH,BAHRAICH,415645,519650,305075,394241,7304661,6979018,3218059,44,230.7944961,3387,157024,182040,170,10,74271,63959,10312,20724.77542,16107.18942,4228.589563,388.99643
667,UTTAR PRADESH,GONDA,395408,457203,210754,252133,3272641,2875502,1382013,37,233.7118465,243,76729,82665,118,16,38577,33823,4754,9297.017759,6720.38882,2470.033539,106.5954
668,UTTAR PRADESH,BARABANKI,376913,496590,251855,348981,4709544,4282951,1541822,39,234.6789004,969,109347,128508,260,4,39901,33238,6663,17075.37706,10051.18231,6831.374543,192.8202
669,UTTAR PRADESH,AYODHYA,239286,322703,180476,252242,2579022,2056522,997815,32,237.6674006,313,63593,70336,91,0,28307,22419,5888,9986.440577,4887.68238,4975.122857,123.63534
670,UTTAR PRADESH,SULTANPUR,302938,356591,211967,255770,4284861,4246087,2238187,41,229.1193004,804,101465,109399,221,5,45478,41298,4180,15560.58646,9728.60483,5639.657052,192.32458
671,UTTAR PRADESH,SIDDHARTH NAGAR,383129,449802,305306,362902,7565416,6853518,3836931,38,232.3388119,722,177698,195004,250,11,32605,27088,5517,25427.74248,15923.38229,9254.856124,249.50406
672,UTTAR PRADESH,MAHARAJGANJ,366307,520236,270758,401136,4959660,4164851,2042516,31,232.7291768,791,130788,155684,393,0,41568,33095,8473,18359.14749,9692.823448,8511.684553,154.63949
673,UTTAR PRADESH,BASTI,445856,568320,326337,424850,8298211,7877430,4023522,42,232.1091979,1334,185262,210543,232,33,44763,35982,8781,30470.24215,18284.23959,11973.5301,212.47246
674,UTTAR PRADESH,GORAKHPUR,368570,448671,238150,301265,4459774,4166248,1962963,40,232.6179267,720,102148,111317,137,65,38627,33839,4788,14758.54261,9691.439718,4856.990623,210.11227
675,UTTAR PRADESH,DEORIA,218782,246926,156113,179540,2658986,2420406,1000549,36,232.8748809,531,65835,69773,110,60,28396,23003,5393,7964.270756,5636.51759,2159.690876,168.06229
676,UTTAR PRADESH,MAU,284953,357163,190561,248704,3370089,3090642,1635567,36,232.9843334,312,85566,96421,243,12,25248,19866,5382,11696.75821,7200.711662,4352.581914,143.46463
677,UTTAR PRADESH,AZAMGARH,447868,510357,316840,369289,5788915,5237503,2604154,36,232.6173325,283,141560,151522,265,26,80278,69834,10444,18390.07321,12183.33977,5917.48846,289.24498
678,UTTAR PRADESH,JAUNPUR,471046,516028,324378,358532,7289881,6616721,3479049,37,229.9252788,706,174650,181763,264,14,66853,59362,7491,21725.63401,15213.51421,6261.181582,250.93822
679,UTTAR PRADESH,BALLIA,286920,350570,192893,245009,3209793,3081296,1644876,38,234.0529973,229,81076,89598,99,10,48852,36233,12619,10392.94676,7211.865644,3007.027102,174.05401
680,UTTAR PRADESH,GHAZIPUR,433357,567991,313745,424920,5592963,5357673,2448440,33,230.5203834,498,160328,186207,206,2,47001,40320,6681,17730.96617,12350.52834,5183.785228,196.6526
681,UTTAR PRADESH,VARANASI,164604,245190,104654,169463,1470351,1300785,718116,30,234.3691234,167,42246,53276,171,0,26226,22688,3538,4291.800438,3048.638402,1181.937976,61.22406
682,UTTAR PRADESH,MIRZAPUR,288658,429574,203728,317371,2710027,2435450,1233035,33,227.4859975,351,71817,91732,121,1,33710,27115,6595,8684.902729,5540.307726,3017.258243,127.33676
683,UTTAR PRADESH,SONBHADRA,304676,489028,215444,363509,3163166,2878862,1516845,35,234.9382534,786,82077,109302,227,4,47361,40822,6539,10187.77141,6763.5481,3290.497258,133.72605
684,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,16222,18674,1176,1408,8721,3358,686,12,224.7843955,0,265,274,0,43,246,246,0,7.54826,7.54826,0,0
685,UTTAR PRADESH,BAGHPAT,22788,30099,5756,7844,56380,21774,7082,17,226.9998163,2,1274,1446,3,25,2055,2052,3,51.80496036,49.42694,0.823520358,1.5545
686,UTTAR PRADESH,HATHRAS,96446,129310,68280,95781,998534,731726,160781,27,221.0702897,58,27050,31375,27,13,10440,9080,1360,2284.800301,1617.628788,619.2161828,47.95533
687,UTTAR PRADESH,AMROHA,150815,210273,118238,168614,2248228,2120663,558972,33,230.5812347,458,63144,74482,125,5,16841,13109,3732,7982.221497,4889.85093,2993.482887,98.88768
688,UTTAR PRADESH,KANNAUJ,148830,188668,102839,136388,1666108,1372736,355415,31,237.0840194,139,44232,48567,122,4,22668,20784,1884,4279.61537,3254.537684,945.6257263,79.45196
689,UTTAR PRADESH,AURAIYA,128372,159652,86788,112315,1190275,1080292,291650,30,231.9360165,45,35644,39829,39,3,16586,13182,3404,4210.350256,2505.586231,1627.045385,77.71864
690,UTTAR PRADESH,KAUSHAMBI,160724,223828,105440,155620,1516089,1285685,634231,32,233.0325862,163,39628,46992,115,45,21838,19891,1947,6334.041226,2996.065006,3272.45884,65.51738
691,UTTAR PRADESH,CHANDAULI,198146,300248,145870,230126,3622628,3324402,1322277,41,226.886739,1076,80657,106243,197,8,27761,20757,7004,10894.21436,7542.627288,3208.366032,143.22104
692,UTTAR PRADESH,KUSHI NAGAR,390209,515083,227509,316864,3675831,2985816,1229672,31,237.1031002,145,95106,113584,339,6,37900,29518,8382,11784.24403,7079.462301,4505.190299,199.59143
693,UTTAR PRADESH,SANT RAVIDAS NAGAR,131408,185908,82397,121680,1217795,1189402,713143,36,235.803978,63,32905,38608,36,13,21874,20679,1195,4216.445149,2804.65723,1324.545219,87.2427
694,UTTAR PRADESH,SANT KABEER NAGAR,248911,298695,199104,243301,4362974,4342154,2414255,38,229.274735,601,112117,123173,84,52,48830,43976,4854,17153.65187,9955.462076,7056.893059,141.29673
695,UTTAR PRADESH,BALRAMPUR,203293,244483,148239,183633,3093381,2868278,1218192,38,232.7605471,549,74395,82065,102,6,27095,22923,4172,11119.61174,6676.219564,4262.708831,180.68334
696,UTTAR PRADESH,SHRAVASTI,134918,192350,94678,142442,2071257,1850730,780837,44,235.3029588,582,41470,49672,123,0,16516,14450,2066,5929.295041,4354.82245,1530.205521,44.26707
697,UTTAR PRADESH,CHITRAKOOT,156019,263133,111065,195604,1456577,1454071,680555,36,229.6089033,572,39846,53265,60,7,22053,19810,2243,5319.77134,3338.676476,1874.122484,106.97238
698,UTTAR PRADESH,AMBEDKAR NAGAR,280738,374398,180700,253159,2929217,2266801,1148157,32,231.6270647,215,69371,78803,106,2,46682,43185,3497,9812.353874,5250.52462,4389.454274,172.37498
699,UTTAR PRADESH,MAHOBA,80173,142195,58740,109831,878915,885666,360160,43,231.6513641,554,20394,28595,34,1,13829,11445,2384,4036.387846,2051.65737,1928.021576,56.7089
700,UTTAR PRADESH,KASHGANJ,123079,173029,94830,138426,1680988,1483277,396968,30,232.5460709,117,48990,56533,295,1,10832,9488,1344,5830.278397,3449.302384,2313.215473,67.76054
701,UTTAR PRADESH,AMETHI,286104,390197,170726,249161,2663926,2218971,956870,34,233.967869,280,63576,73963,62,0,41689,32464,9225,8801.58455,5191.679162,3469.585798,140.31959
702,UTTAR PRADESH,HAPUR,19004,21177,11171,12421,198010,163106,68262,32,229.6501478,41,5002,5408,7,3,1750,1566,184,374.57317,374.57317,0,0
703,UTTAR PRADESH,SHAMLI,48899,58076,21554,26723,302701,169103,56516,28,228.9270445,6,6023,6977,6,2,4691,4394,297,449.8065459,387.1225,61.4529559,1.23109
704,UTTAR PRADESH,SAMBHAL,197516,250853,112142,151962,1812549,1259002,352303,27,231.5062682,160,46597,52757,179,10,20350,17513,2837,5057.818522,2914.668547,2052.422605,90.72737
705,UTTARAKHAND,ALMORA,90370,164942,65215,128594,860000,392444,225176,25,290.906858,45,15696,21243,37,56,11419,10368,1051,1834.810436,1141.64651,639.4699564,53.69397
706,UTTARAKHAND,BAGESHWAR,48865,88037,32890,64505,501872,283687,150383,30,235.1774702,52,9263,12687,24,14,5491,4815,676,1258.143072,667.16791,555.4039723,35.57119
707,UTTARAKHAND,CHAMOLI,81551,128359,69952,112975,1126259,565457,363707,19,262.9513226,45,28570,35013,110,4,16413,12203,4210,2392.586827,1486.87666,811.2035569,94.50661
708,UTTARAKHAND,CHAMPAWAT,39753,64907,31223,53592,540992,288295,140250,26,226.5594721,30,10864,14613,49,1,6652,4178,2474,1059.699529,653.15963,371.2965394,35.24336
709,UTTARAKHAND,DEHRADUN,68187,101195,46115,70554,1712465,993114,375869,43,236.2671013,400,22833,28555,17,20,9222,7406,1816,2570.569317,2346.40166,187.3207673,36.84689
710,UTTARAKHAND,HARIDWAR,118331,152196,59922,82859,1142688,494899,211496,23,245.1500425,13,20899,25808,11,38,9199,8145,1054,1506.079929,1213.245109,256.6188796,36.21594
711,UTTARAKHAND,NAINITAL,58697,107322,37929,76385,568836,294139,141373,29,254.7789922,46,9842,15182,16,26,9307,7598,1709,1698.705337,749.40438,890.7468366,58.55412
712,UTTARAKHAND,PAURI GARHWAL,106025,179694,88904,156659,1335827,682002,461309,19,241.7488175,99,34700,40538,86,11,15111,12198,2913,3181.669878,1648.73177,1452.180698,80.75741
713,UTTARAKHAND,PITHORAGARH,79592,163074,60944,134356,1214733,643823,329115,30,235.1456099,182,21093,33422,65,11,13717,10750,2967,2181.901505,1513.92152,604.2816348,63.69835
714,UTTARAKHAND,RUDRA PRAYAG,51298,85810,41061,72057,977123,464757,299636,33,234.7330261,198,13764,17246,18,2,7084,5412,1672,1875.759933,1090.93817,744.3760426,40.44572
715,UTTARAKHAND,TEHRI GARHWAL,142941,194959,126207,175550,2236353,1088150,781353,20,251.2305712,162,53588,61510,94,11,10591,8738,1853,5349.604027,2733.76546,2503.766297,112.07227
716,UTTARAKHAND,UDAM SINGH NAGAR,115976,191762,55549,99936,527383,301396,150432,25,254.0132384,19,11648,15224,75,16,6436,4570,1866,1381.524918,765.58574,576.0318784,39.9073
717,UTTARAKHAND,UTTAR KASHI,85644,150228,75886,134608,2255469,1293642,719619,32,234.5153659,329,39895,57817,259,5,16954,15373,1581,3538.344614,3033.78927,430.4547341,74.10061
718,WEST BENGAL,NADIA,766277,1487113,359749,764041,0,1323,696,17,214.9501134,0,77,79,0,177,24065,23809,256,450.70022,2.84379,0,447.85643
719,WEST BENGAL,PASCHIM BARDHAMAN,140126,286547,87540,190962,0,30,30,15,873,0,2,2,0,60,2613,2608,5,163.31533,0.2619,0,163.05343
720,WEST BENGAL,BIRBHUM,677452,1356516,544626,1134882,0,2999,1125,23,219.5748583,0,128,168,0,150,27450,26931,519,413.87752,6.58505,0,407.29247
721,WEST BENGAL,SILIGURI MAHAKUMA PARISAD,116352,216435,66285,130428,0,0,0,0,0,0,0,0,0,22,2344,2336,8,64.58085,0,0,64.58085
722,WEST BENGAL,HOWRAH,405156,576719,214526,341026,0,0,0,0,0,0,0,0,0,156,18340,18268,72,206.79272,0.14049,0,206.65223
723,WEST BENGAL,HOOGHLY,841196,1531265,730327,1374373,0,15,15,15,3582,0,1,1,0,203,32931,32921,10,524.6381,0.5373,0,524.1008
724,WEST BENGAL,JALPAIGURI,405099,776587,345803,684590,0,0,0,0,0,0,0,0,0,80,31789,31786,3,207.34121,0,0,207.34121
725,WEST BENGAL,COOCHBEHAR,660615,1253739,562922,1086819,0,0,0,0,0,0,0,0,0,128,74246,73801,445,292.03568,0,0,292.03568
726,WEST BENGAL,MALDAH,723209,1171115,479462,812372,0,3760,2764,15,208.0417553,0,236,236,0,138,73612,73494,118,302.93663,7.82237,0,295.11426
727,WEST BENGAL,PASCHIM MEDINIPUR,888766,1774382,692068,1458862,0,7626,3184,31,417.7886179,0,241,401,2,195,89013,88466,547,596.61465,31.86056,0,564.75409
728,WEST BENGAL,PURBA MEDINIPUR,918265,1959640,558310,1250763,0,1224,512,27,220.8919118,0,45,54,0,214,81897,81470,427,443.868367,2.703717,0,441.16465
729,WEST BENGAL,MURSHIDABAD,1235377,2086183,537619,980300,0,18620,6327,29,213.177551,0,630,633,0,237,108828,107190,1638,454.15776,39.69366,0,414.4641
730,WEST BENGAL,BANKURA,688826,1543810,514439,1234957,0,1389,796,16,311.3117351,0,86,95,0,184,30682,30013,669,461.7215,4.32412,0,457.39738
731,WEST BENGAL,PURULIA,525606,1133453,333772,770569,0,43742,19331,25,233.9394632,0,1738,2010,12,99,26277,24060,2217,387.09026,102.3298,0,284.76046
732,WEST BENGAL,24 PARGANAS (NORTH),874745,1523062,421497,781796,0,0,0,0,0,0,0,0,0,199,85392,85387,5,444.39884,1.74923,0,442.64961
733,WEST BENGAL,24 PARGANAS SOUTH,1404131,2362498,971202,1728854,0,81906,38613,18,259.4623105,0,4312,5618,24,255,199175,191889,7286,879.84493,212.5152,0,667.32973
734,WEST BENGAL,DINAJPUR DAKSHIN,277995,521907,166888,332724,0,0,0,0,0,0,0,0,0,63,14175,13890,285,159.83373,0.35355,0,159.48018
735,WEST BENGAL,DINAJPUR UTTAR,509623,951641,257823,513862,0,18,11,1,477.7777778,0,14,16,0,83,84512,84328,184,191.17109,0.086,0,191.08509
736,WEST BENGAL,Darjeeling Gorkha Hill Council (DGHC),128101,209025,121661,200465,0,0,0,0,0,0,0,0,0,70,10294,10272,22,0,0,0,0
737,WEST BENGAL,ALIPURDUAR,326719,638745,292236,582466,0,0,0,0,0,0,0,0,0,64,64583,64330,253,0,0,0,0
738,WEST BENGAL,KALIMPONG,55970,89772,55270,88883,0,0,0,0,0,0,0,0,0,42,4520,4520,0,29.87511,0,0,29.87511
739,WEST BENGAL,JHARGRAM,231080,470307,173353,371119,0,0,0,0,0,0,0,0,0,79,23795,23788,7,0,0,0,0
740,WEST BENGAL,PURBA BARDHAMAN,918299,1849462,778650,1615428,0,2162,767,26,279.7377428,0,82,92,2,202,35451,35187,264,18.95201,6.04793,0,12.90408
