SNo.,state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,Approved Labour Budget,Persondays of Central Liability so far,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
420,MANIPUR,SENAPATI,41353,89153,37963,81549,1729965,243764,123538,10,575.417215,0,24135,24139,4,1,1636,1632,4,2026.280596,1402.66002,623.6205762,0
421,MANIPUR,TAMENGLONG,25866,45352,25562,44860,923705,41216,18907,6,4729.368619,0,5963,5964,2,1,1255,1252,3,2142.004956,1949.25657,175.353386,17.395
422,MANIPUR,TENGNOUPAL,15750,29979,14797,28289,657447,105807,51249,17,197.8083775,0,6206,6227,15,82,518,518,0,336.8498181,209.29511,118.0634081,9.4913
423,MANIPUR,THOUBAL,52900,110073,50553,105810,1994500,62306,41986,11,1531.974352,0,5366,5640,11,0,1659,1659,0,1699.352623,954.51194,656.0356928,88.80499
424,MANIPUR,UKHRUL,39202,42607,38524,41900,1590570,173113,84912,6,395.8477122,0,25702,25855,39,11,899,894,5,870.546465,685.26385,184.482615,0.8
425,MEGHALAYA,EAST GARO HILLS,35975,68370,35330,67316,2124092,878277,414670,28,246.3884196,320,30639,47778,24,12,5785,3891,1894,5189.75807,2163.97282,2935.79203,89.99322
426,MEGHALAYA,East Jaintia Hills,35057,51260,30169,44235,1110636,371828,284053,23,249.143994,3,16057,16834,74,31,3443,3360,83,1743.42352,926.38713,780.46414,36.57225
427,MEGHALAYA,EAST KHASI HILLS,118447,170368,102756,148869,4722983,758210,600548,24,268.4994632,42,31552,32480,337,128,9239,7950,1289,5840.818107,2035.78978,3477.699797,327.32853
428,MEGHALAYA,EASTERN WEST KHASI HILLS,19785,40101,17568,36341,1219423,263570,175748,29,240.6853473,45,8972,13042,61,25,1358,1335,23,1094.344736,634.37437,444.3020463,15.66832
429,MEGHALAYA,NORTH GARO HILLS,37486,87235,36597,85398,2665527,814266,367969,26,238.0113538,0,30685,32550,11,10,5841,5709,132,4415.883906,1938.04553,2435.852736,41.98564
430,MEGHALAYA,RI BHOI,64962,129425,55879,114650,2234089,978840,535620,31,240.9195006,499,31105,48790,92,97,5552,5059,493,3645.471506,2358.21644,1130.928106,156.32696
431,MEGHALAYA,SOUTH GARO HILLS,46386,93450,41778,84800,2596113,419493,227841,24,301.8886775,0,17439,17552,108,36,5972,5866,106,4356.008671,1266.40187,2975.939831,113.66697
432,MEGHALAYA,SOUTH WEST GARO HILLS,41504,85317,40415,83049,2246262,1082525,546954,31,241.9077121,188,34837,44873,198,10,7068,6533,535,6833.573622,2618.71146,4168.273272,46.58889
433,MEGHALAYA,SOUTH WEST KHASI HILLS,24898,47437,24041,46206,1313370,217771,120936,17,247.2007843,0,12288,15133,142,9,5453,4886,567,1426.18733,538.33162,845.01102,42.84469
434,MEGHALAYA,WEST GARO HILLS,125321,248232,116517,232705,6672148,1893132,913646,25,316.2199831,0,75142,82022,133,42,17852,17310,542,11918.25337,5986.46169,5768.183297,163.60838
435,MEGHALAYA,WEST JAINTIA HILLS,60933,101814,53121,90005,1399402,473533,368337,19,245.5517626,13,23701,26632,119,23,4489,4243,246,2515.906607,1162.768628,1268.388309,84.74967
436,MEGHALAYA,WEST KHASI HILLS,53911,111355,45822,95472,1695955,611285,381907,36,251.741659,142,16808,21055,89,131,6190,5735,455,2865.350094,1538.859,1238.357434,88.13366
437,MIZORAM,AIZAWL,35576,38590,25986,28381,1712623,923223,506274,35,292.6646401,0,26069,26155,16,0,1721,779,942,3548.38821,2701.94727,723.18574,123.2552
438,MIZORAM,CHAMPHAI,16657,17086,16649,17077,1470552,585455,253124,35,280.8202116,0,16643,17358,29,0,673,414,259,2313.10817,1644.07597,596.5592,72.473
439,MIZORAM,HNAHTHIAL,6726,6837,6723,6834,561848,225033,96579,35,332.5164931,0,6420,6685,2,0,478,145,333,1278.165487,748.27184,508.0176472,21.876
440,MIZORAM,KHAWZAWL,10223,10397,10190,10364,721507,347316,151422,33,324.3840163,0,10316,10478,2,0,501,102,399,1658.07059,1126.63759,495.661,35.772
